apartment_,latitude,longitude,place_id,zipcode,website,property_a,map_url,phone,Market_Time,School_Time
Villages of East Lake,33.743687,-84.31477,ChIJuVTPLC8B9YgR_1NXGEbmRZw,30088,http://eastlakeatl.com/,"460 E Lake Blvd SE, Atlanta, GA 30317, USA",https://maps.google.com/?cid=11260659632040268799,(404) 373-9598,49 mins,14 mins
The Promenade at Berkeley,33.992252,-84.167911,ChIJ0XsHMD6i9YgRQRFm2-rhJwQ,30097,http://www.livewellpromenadeatberkeley.com/,"3750 Peachtree Industrial Blvd, Duluth, GA 30096, USA",https://maps.google.com/?cid=299456299062923585,(770) 497-8640,1 hour 58 mins,45 mins
Aylesbury Farms Apartments,34.04879,-84.181449,ChIJ78yCXc2Y9YgRkAF-bLHqfX8,30097, ,"6115 Abbotts Bridge Rd, Johns Creek, GA 30097, USA",https://maps.google.com/?cid=9186756862655988112,(770) 476-5515,1 hour 8 mins,27 mins
Colonial Grand at River Plantation,34.008161,-84.174213,ChIJ979itgii9YgRnqKd5cMuOsE,30097,http://cgriverplantation.maac.com/,"4130 Plantation Trace Dr, Duluth, GA 30096, USA",https://maps.google.com/?cid=13923492616875123358,(770) 623-3244,1 hour 58 mins,45 mins
The Retreat at Johns Creek,34.016407,-84.181108,ChIJ9W0_BaqY9YgRJCUtWOjMR5Y,30097,http://www.retreatatjohnscreekapartments.com/,"6005 State Bridge Rd, Johns Creek, GA 30097, USA",https://maps.google.com/?cid=10828849127319479588,(770) 232-0708,1 hour 29 mins,16 mins
The Atlantic Howell Station Apartments of Duluth,33.996268,-84.169992,ChIJB95hnRai9YgRvymPeZ76LQk,30097,http://www.howellstationliving.com/,"3655 Peachtree Industrial Blvd, Duluth, GA 30096, USA",https://maps.google.com/?cid=661460278844533183,(770) 476-1005,1 hour 58 mins,45 mins
Berkshires at Howell Station Apartments,33.996645,-84.169892,ChIJB95hnRai9YgRZOH9V7xMwNs,30097, ,"3655 Peachtree Industrial Blvd, Duluth, GA 30096, USA",https://maps.google.com/?cid=15834740661648482660,(770) 476-1005,1 hour 58 mins,45 mins
The Oaks at Johns Creek,34.060235,-84.161544,ChIJDavHE9mY9YgRrMF2b6D_XP0,30097,http://www.oaksatjohnscreek.com/,"11000 Lakefield Pl, Johns Creek, GA 30097, USA",https://maps.google.com/?cid=18256748053983052204,(678) 615-7730,35 mins,35 mins
Johns Creek Hearthside,34.056847,-84.174928,ChIJ-fbmtGKi9YgRClozoPnJU8s,30097,http://www.hearthsidejohnscreek.com/,"11340 Medlock Bridge Road, Johns Creek, GA 30097",https://maps.google.com/?cid=14651276086738115082,(770) 418-0555,35 mins,35 mins
Berkeley Landing,33.991579,-84.169975,ChIJjbdnRzyi9YgROyn0G5m3YBA,30097,http://www.berkeleylanding.com/,"3700 Peachtree Industrial Blvd, Duluth, GA 30096, USA",https://maps.google.com/?cid=1180144970597935419,(770) 476-9422,1 hour 58 mins,45 mins
Woodmere Trace Apartments,33.993719,-84.159715,ChIJJYZy10Gi9YgR7HtHjFCgTfM,30097,http://www.woodmeretrace.com/,"3550 Pleasant Hill Rd, Duluth, GA 30096, USA",https://maps.google.com/?cid=17531845192234531820,(770) 497-0584,1 hour 58 mins,45 mins
Overlook At Berkeley Lake,33.9897,-84.162664,ChIJJZvrRj-i9YgRHFWcvebbVlY,30097,http://overlookatberkeleylakeapts.com/,"3475 Pleasant Hill Rd, Duluth, GA 30096, USA",https://maps.google.com/?cid=6221401719329019164,(770) 217-9612,1 hour 58 mins,45 mins
The Regency At Johns Creek Walk,34.052658,-84.175631,ChIJKQmWgdCY9YgRs4sld9Wk31A,30097,http://www.regencyjohnscreek.com/,"11134 Medlock Bridge Rd, Johns Creek, GA 30097, USA",https://maps.google.com/?cid=5827557679574649779,(770) 495-8000,54 mins,29 mins
Colonial Grand at Berkeley Lake,33.996435,-84.166723,ChIJNc2O-hSi9YgRAh9-RHxrSPM,30097,http://cgberkeleylake.maac.com/,"100 Bradford Creek Trail NW, Duluth, GA 30096, USA",https://maps.google.com/?cid=17530379731008888578,(770) 622-0405,1 hour 58 mins,45 mins
Colonial Grand at River Oaks,34.008572,-84.176143,ChIJT1FHqAWi9YgRM8j_0v4Y09o,30097,http://cgriveroaks.maac.com/,"4400 Pleasant Hill Rd, Duluth, GA 30096, USA",https://maps.google.com/?cid=15767974203094976563,(770) 623-6900,1 hour 58 mins,45 mins
Avonlea on the River,34.014558,-84.181902,ChIJTaf56gOi9YgRqMARxCz9YvY,30097,http://www.avonleaontheriver.com/,"6015 State Bridge Rd, Johns Creek, GA 30097, USA",https://maps.google.com/?cid=17754031049757802664,(770) 232-4600,1 hour 29 mins,16 mins
Howell Bridge Apartments,34.010672,-84.166631,ChIJTdKMqjGi9YgReClBNCJaLI0,30097,http://www.howellbridge.com/,"3350 Peachtree Industrial Blvd, Duluth, GA 30096, USA",https://maps.google.com/?cid=10172604761275181432,(770) 476-0385,1 hour 58 mins,45 mins
Proctor Square,34.000549,-84.143247,ChIJVfQUgmKi9YgRczn3rVucVxo,30097,http://www.greenleafmgmt.com/,"3441 Fox St NW, Duluth, GA 30096, USA",https://maps.google.com/?cid=1898157685534570867,(770) 476-5673,1 hour 6 mins,14 mins
Wesley Plantation Apartments,33.998703,-84.17113,ChIJYYtQyhOi9YgR6cjhCG3k-6k,30097,http://www.wesleyplantation.com/,"3575 Peachtree Industrial Blvd, Duluth, GA 30096, USA",https://maps.google.com/?cid=12248634768515778793,(770) 497-0711,1 hour 58 mins,45 mins
The Broadway at East Atlanta,33.731132,-84.323883,ChIJ9QWjoRcB9YgRoZXI2mxRIN4,30288,http://www.livewellbroadwayeast.com/,"1930 Flat Shoals Rd SE, Atlanta, GA 30316, USA",https://maps.google.com/?cid=16005882603643639201,(404) 241-3242,49 mins,14 mins
Forest Cove Apartments LLC,33.705255,-84.356363,ChIJAaM1oykC9YgR0OZsadJxR-4,30288, ,"310 Thomasville Blvd SE, Atlanta, GA 30315, USA",https://maps.google.com/?cid=17169817252899120848,(404) 622-0580,12 mins,16 mins
The Park At Bouldercrest,33.687206,-84.31288,ChIJCXRRxsoB9YgRvQuU5LlolH0,30288, ,"26 Bouldercrest Ln, Atlanta, GA 30316, USA",https://maps.google.com/?cid=9048972698907315133, ,1 hour 15 mins,35 mins
Norstar at Wingate Apartments,33.626575,-84.357059,ChIJD3cY_tT99IgRqFcTSMKa0yc,30288,http://cflane.com/,"4685 Courtney Dr, Forest Park, GA 30297, USA",https://maps.google.com/?cid=2869807546788698024,(404) 366-7422,39 mins,19 mins
Rainwood Apartments,33.598782,-84.32879,ChIJG0bc7cH-9IgR34gQ_bJ_e0U,30288,http://www.rampartnersllc.com/lake-city-fl-apartments/rainwood/,"1885 Harper Dr, Morrow, GA 30260, USA",https://maps.google.com/?cid=5006735817479063775,(770) 961-1654,6 mins,3 mins
Foxhall Apartments,33.622054,-84.369092,ChIJp1HBbjP89IgRHjLB_APV-RM,30288, ,"Forest Park, GA 30297, USA",https://maps.google.com/?cid=1439415769023722014,(404) 361-8221,58 mins,30 mins
Park At Fort Gillem,33.620472,-84.3113,ChIJq8ULXgD_9IgRwQOwDGYcBuY,30288,http://www.parkfg.com/,"7 Holland Park Dr, Ellenwood, GA 30294, USA",https://maps.google.com/?cid=16574966703208793025,(404) 363-9955,20 mins,26 mins
Constitution Hill Apartments,33.692822,-84.351796,ChIJQWHACYsB9YgROvCne0PgRJg,30288,http://www.constitution-hill.com/,"1177 Constitution Rd SE, Atlanta, GA 30315, USA",https://maps.google.com/?cid=10972141172623405114,(404) 627-8115,26 mins,15 mins
Willow Park Apartments,33.636058,-84.342746,ChIJS0QemG_-9IgREr4W7kPOk3g,30288,http://www.newagemanage.com/willow-park.html,"1466 Rockcut Rd J1, Forest Park, GA 30297, USA",https://maps.google.com/?cid=8688514897280417298,(404) 835-2252,6 mins,3 mins
Norstar at Wingate,33.626985,-84.356955,ChIJty_jTNT99IgR1HBhyu6gtKY,30288,http://www.cflane.com/id/1780/norstar-at-wingate-forest-park-ga-30297,"4671 Courtney Dr, Forest Park, GA 30297, USA",https://maps.google.com/?cid=12012403053561999572,(404) 366-7422,39 mins,19 mins
Paisley Park Apartments,33.615214,-84.354267,ChIJwf0N1in89IgR-wz_yV6SCgg,30288, ,"1120 South Ave # C1, Forest Park, GA 30297, USA",https://maps.google.com/?cid=579436437884046587,(404) 577-7368,39 mins,19 mins
Paradise East Apartments,33.713398,-84.327551,ChIJX92abQoB9YgRe-5CpCPwuzU,30288, ,"1504 Bouldercrest Rd, Atlanta, GA 30316, USA",https://maps.google.com/?cid=3871952340525444731,(404) 241-2800,31 mins,17 mins
Shannon Lake,33.568682,-84.51242,ChIJB070Rhrk9IgRud92FzIcH9I,30291,http://www.shannonlakeapts.com/,"6770 Buffington Rd, Union City, GA 30291, USA",https://maps.google.com/?cid=15140851473710505913,(770) 969-7412,1 hour 25 mins,28 mins
Hidden Lake Apartments,33.569089,-84.517629,ChIJCxwWUxnk9IgROOnstCphrzk,30291,http://www.southwoodrealty.com/hiddenlake.htm,"4050 Morgan Rd, Union City, GA 30291, USA",https://maps.google.com/?cid=4156647817138202936,(770) 964-0717,1 hour 25 mins,28 mins
Oakley Shoals,33.584634,-84.532562,ChIJeTHmZK3m9IgRt2qQ-NPxQmA,30291, ,"6295 Oakley Rd, Union City, GA 30291, USA",https://maps.google.com/?cid=6936372268814592695,(770) 964-5689,1 hour 32 mins,28 mins
Champions Glen Apartments,33.579916,-84.532475,ChIJgfFV4rHm9IgR6nbE7QDvNuE,30291,http://www.champions-glen.com/,"6425 Oakley Rd, Union City, GA 30291, USA",https://maps.google.com/?cid=16228421094544275178,(770) 969-4453,1 hour 32 mins,28 mins
The Landings at Oak Hill,33.585194,-84.527189,ChIJHb3YVFPh9IgRFWdJbVed_yc,30291,http://www.livewelloakhill.com/,"4300 Flat Shoals Rd, Union City, GA 30291, USA",https://maps.google.com/?cid=2882195285361649429,(770) 964-4202,1 hour 32 mins,28 mins
Premier Club Apartments,33.594101,-84.551665,ChIJHxRVhDHh9IgRWTtacs-Omzk,30291,http://www.livewellpremierclub.com/,"5100 Highpoint Rd, Union City, GA 30291, USA",https://maps.google.com/?cid=4151068503179934553,(770) 964-9912,1 hour 59 mins,28 mins
Autumn Hills Apartments,33.58719,-84.534515,ChIJL3gSMk3h9IgRI_uD_siXGGE,30291, ,"4483 Flat Shoals Rd, Union City, GA 30291, USA",https://maps.google.com/?cid=6996508910639381283,(770) 969-8486,1 hour 32 mins,28 mins
Union Station Apartments,33.585194,-84.527189,ChIJLxvFZazm9IgRr1bKErhfsdk,30291, ,"4300 Flat Shoals Rd, Union City, GA 30291, USA",https://maps.google.com/?cid=15686424221302019759,(770) 964-4202,1 hour 32 mins,28 mins
Oakley Woods,33.584776,-84.531204,ChIJO-h7FK3m9IgROxi7nFfyKzM,30291,http://www.oakleywoodsbyelon.com/,"6300 Oakley Rd, Union City, GA 30291, USA",https://maps.google.com/?cid=3687307178038466619,(678) 503-5336,1 hour 32 mins,28 mins
Morgan Trace,33.564897,-84.520258,ChIJrbRZvR_k9IgRvnVGpLYFB3E,30291,http://www.morgantracebyelon.com/,"4065 Jonesboro Rd, Union City, GA 30291, USA",https://maps.google.com/?cid=8144484733121099198,(678) 503-5333,1 hour 25 mins,28 mins
Bethel Towers,33.756223,-84.38083,ChIJ27wrj4kD9YgRhOeEudS5Q6I,30303, ,"Jesse Hill Jr Dr NE, Atlanta, GA 30303, USA",https://maps.google.com/?cid=11692393380880639876, ,5 mins,15 mins
Intown Apartments & Lofts,33.750047,-84.403265,ChIJA4eHtHsD9YgRgpbuFol2N_c,30303,http://www.intownloftsapartments.net/,"170 Northside Dr SW, Atlanta, GA 30313, USA",https://maps.google.com/?cid=17813837182254618242,(404) 522-7598,13 mins,19 mins
Veranda at Auburn Point,33.751815,-84.376946,ChIJc9HQ6owD9YgRrrgQjXHWRAI,30303, ,"115 Hilliard St SE, Atlanta, GA 30312, USA",https://maps.google.com/?cid=163491269678512302,(404) 659-2200,5 mins,15 mins
Ashley Auburn Pointe,33.751038,-84.377912,ChIJdeOFBnbC9YgRmHsldVDY4EU,30303,http://www.ashleyauburnpointe.com/,"357 Auburn Pointe Dr SE, Atlanta, GA 30312, USA",https://maps.google.com/?cid=5035262223474588568,(844) 300-8115,5 mins,15 mins
Capitol Gateway,33.745352,-84.384106,ChIJF9DnQ5AD9YgRiugit9xuFFA,30303,http://www.liveatcapitolgateway.com/,"89 Woodward Ave SE, Atlanta, GA 30312, USA",https://maps.google.com/?cid=5770358916812826762,(855) 750-6984,5 mins,15 mins
Muse's Lofts,33.755238,-84.389281,ChIJGysJ5IYD9YgRVq8BBT0FeIM,30303,http://www.livethemuses.com/,"50 Peachtree St NW, Atlanta, GA 30303, USA",https://maps.google.com/?cid=9473327575808978774,(404) 523-7344,5 mins,15 mins
CityWalk Apartments,33.75532,-84.38128,ChIJh2xtLYYD9YgR6dYotPlD8fc,30303,http://www.citywalkatl.com/,"171 Auburn Ave NE, Atlanta, GA 30303, USA",https://maps.google.com/?cid=17866135936503961321,(404) 521-3008,5 mins,15 mins
Artist Square,33.746806,-84.404873,ChIJH8AvfnAD9YgR9DAg0gVS5P8,30303,http://www.artistsquareapartments.com/,"23 Larkin Pl SW, Atlanta, GA 30313, USA",https://maps.google.com/?cid=18438952959315292404,(404) 584-6556,13 mins,19 mins
City Plaza Apartments,33.74882,-84.391806,ChIJjaxHa4MD9YgRiFw9e1lKeiY,30303,http://www.cityplazajmg.com/,"133 Trinity Ave SW, Atlanta, GA 30303, USA",https://maps.google.com/?cid=2772610268780125320,(678) 608-4352,5 mins,15 mins
AMLI Management Company,33.760525,-84.387581,ChIJmy2YWWkV9YgRFwKjnBFq8qQ,30303,http://www.amli.com/,"260 Peachtree St NW #1700, Atlanta, GA 30303, USA",https://maps.google.com/?cid=11885678990459077143,(770) 281-3300,12 mins,2 mins
The Villages At Castleberry Hill,33.746732,-84.408348,ChIJP5bF3m8D9YgRRpysdkBL_8M,30303,http://www.villageatcastleberryhill.com/,"600 Greensferry Ave SW, Atlanta, GA 30314, USA",https://maps.google.com/?cid=14123089696698178630,(404) 523-1330,13 mins,19 mins
Metropolitan,33.754668,-84.390634,ChIJR84HyIYD9YgRFHFKxN5h-Ro,30303, ,"20 Marietta St, Atlanta, GA 30303, USA",https://maps.google.com/?cid=1943692323590926612,(404) 223-1555,5 mins,15 mins
One12 Courtland Apartments,33.757348,-84.384554,ChIJrdTNI4gD9YgRXAwqUbdnj54,30303,http://www.one12courtland.com/,"112 Courtland St NE, Atlanta, GA 30303, USA",https://maps.google.com/?cid=11425464816700623964,(855) 265-9112,5 mins,15 mins
The Residences at CityCenter Apartments,33.756012,-84.404939,ChIJwwpL5nwD9YgR8WsfMVA2wP0,30303,http://www.residencescitycenter.com/,"55 Maple St NW, Atlanta, GA 30314, USA",https://maps.google.com/?cid=18284674205173640177,(855) 696-4500,13 mins,19 mins
Museum Tower,33.762556,-84.391469,ChIJ-zMeyX4E9YgRvHDw0bxqSR4,30303,http://www.museumtower.com/Welcome-to-The-MUSEUM-TOWER-Web-Site~139461~14633.htm,"285 Centennial Olympic Park Dr NW, Atlanta, GA 30313, USA",https://maps.google.com/?cid=2182392853646307516,(404) 230-9945,12 mins,2 mins
Roswell Court Condominiums,33.848831,-84.381478,ChIJ0-xRPGIP9YgRARxpw_11jBw,30305,http://www.roswellcourt.com/,"39 Roswell Ct NE, Atlanta, GA 30305, USA",https://maps.google.com/?cid=2057148862567095297,(404) 812-0713,22 mins,20 mins
Haynes House,33.821044,-84.388892,ChIJC2JseKMF9YgRevzWQcAqAeE,30305,http://thehayneshouse.com/,"2420 Peachtree St NW, Atlanta, GA 30305, USA",https://maps.google.com/?cid=16213287138737192058,(404) 341-6191,3 mins,8 mins
The Haynes House Apartments,33.820787,-84.388823,ChIJC2JseKMF9YgRkR9mb7ubpxw,30305,http://thehayneshouse.com/?utm_source=local&utm_medium=organic&utm_content=GMB&utm_campaign=GTMA,"2420 Peachtree Rd, Atlanta, GA 30305, USA",https://maps.google.com/?cid=2064790183502815121,(404) 467-8300,3 mins,8 mins
Victoria Apartments,33.850271,-84.382418,ChIJd7NksmMP9YgROcu29A9Fsss,30305,http://www.habershamapts.com/property/victoria,"3518 Roswell Rd NE, Atlanta, GA 30305, USA",https://maps.google.com/?cid=14677870070386314041,(404) 237-0228,22 mins,20 mins
Allure in Buckhead Village,33.837519,-84.375764,ChIJHaQ8No0F9YgRQugqRNN6p1o,30305,http://allurebuckhead.maac.com/,"360 Pharr Rd NE, Atlanta, GA 30305, USA",https://maps.google.com/?cid=6532324832324544578,(404) 231-8743,16 mins,18 mins
Post Peachtree Hills,33.818517,-84.375276,ChIJk0R0p7gF9YgRKLhdcr1ADqw,30305,http://www.postproperties.com/GA/Atlanta/Buckhead/Post-Peachtree-Hills,"350 Peachtree Hills Ave NE, Atlanta, GA 30305, USA",https://maps.google.com/?cid=12397918006609295400,(404) 365-9511,26 mins,30 mins
Westminster at Buckhead Apartments,33.834644,-84.386728,ChIJL4mNlpoF9YgRaUjlUSU8gbY,30305,http://venterraliving.com/buckhead/rent_pricing_availability?id=BHGGM005,"2900 Pharr Ct S Northwest, Atlanta, GA 30305, USA",https://maps.google.com/?cid=13150858517883996265,(404) 287-2705,11 mins,15 mins
Piedmont Road High Rise,33.853135,-84.380717,ChIJn7Lt_WMP9YgRtajQLUxJLDg,30305, ,"3601 Piedmont Rd NE, Atlanta, GA 30305, USA",https://maps.google.com/?cid=4047690756634224821,(404) 814-2106,22 mins,20 mins
2460 Peachtree Apartments,33.822013,-84.388345,ChIJpz3nq6MF9YgRhFUzKH0GZJw,30305,http://www.2460peachtree.com/,"2460 Peachtree St NW, Atlanta, GA 30305, USA",https://maps.google.com/?cid=11269139302202955140,(866) 754-4279,3 mins,8 mins
Tremont Apartment Homes,33.853065,-84.382188,ChIJUd1GiGMP9YgRtYPs_hqO9oM,30305,http://www.livetremont.com/,"3645 Habersham Rd NE, Atlanta, GA 30305, USA",https://maps.google.com/?cid=9508943909836587957,(404) 720-5788,22 mins,20 mins
Highland View Apartments,33.775732,-84.364024,ChIJ4WU3wxkE9YgRzO4rBan-OrY,30306,http://highlandviewatl.com/,"784 Ponce De Leon Pl NE, Atlanta, GA 30306, USA",https://maps.google.com/?cid=13131087665441795788,(404) 881-6680,1 min,9 mins
City View Apartments,33.761323,-84.373587,ChIJ90CrEAsE9YgRIdPvubM5-S4,30306,http://www.cityviewatlanta.com/,"433 Highland Ave NE, Atlanta, GA 30312, USA",https://maps.google.com/?cid=3384800039027069729,(404) 223-9260,9 mins,20 mins
Telephone Factory Lofts,33.768098,-84.360302,ChIJ9U9etAQE9YgRcSR8JAXDEOQ,30306,http://www.telephonefactoryapts.com/,"828 Ralph McGill Blvd NE, Atlanta, GA 30306, USA",https://maps.google.com/?cid=16433849467129308273,(404) 577-0905,9 mins,20 mins
William Booth Towers The Salvation Army,33.773363,-84.35035,ChIJdSmeyqYG9YgRTRFloPvX6gY,30306,http://salvationarmyatlanta.org/,"1125 Ponce De Leon Ave NE, Atlanta, GA 30306, USA",https://maps.google.com/?cid=498448184505602381,(404) 875-7495,6 mins,14 mins
Braden Fellman Group Ltd,33.773491,-84.356939,ChIJla9vKxwE9YgRen6YxjbRidk,30306,http://bradenfellman.com/,"931 Ponce De Leon Ave NE, Atlanta, GA 30306, USA",https://maps.google.com/?cid=15675290011230043770,(404) 876-6432,6 mins,14 mins
Copenhill Lofts & Condominiums,33.768142,-84.359443,ChIJmSSmrwQE9YgRJc3GqPNn3YE,30306, ,"850 Ralph McGill Blvd NE, Atlanta, GA 30306, USA",https://maps.google.com/?cid=9357749896952073509,(404) 614-0543,6 mins,7 mins
AMLI Ponce Park,33.770698,-84.365735,ChIJN8-3fBAE9YgRJ1OXXmQYGLI,30306,http://www.amli.com/apartments/atlanta/downtown/atlanta/ponce-park,"641 North Avenue NE, Atlanta, GA 30308, USA",https://maps.google.com/?cid=12833033957555000103,(404) 267-0964,9 mins,20 mins
1315stillwood.com,33.783139,-84.344223,ChIJO1iL5pkG9YgRVQjpx4Yk_dE,30306, ,"1315 Stillwood Dr NE, Atlanta, GA 30306, USA",https://maps.google.com/?cid=15131290484332890197, ,6 mins,14 mins
755North,33.770558,-84.362926,ChIJQxHD-BoE9YgRHdFVTbiZRac,30306,http://www.755north.com/,"755 North Avenue NE, Atlanta, GA 30306, USA",https://maps.google.com/?cid=12053208994577502493,(404) 815-0777,9 mins,20 mins
Columbia Townhomes At Edgewood,33.75768,-84.340971,ChIJ_74EILMG9YgRd0NE9HI25qE,30307,http://www.columbiares.com/property/retreat-edgewood-townhomes,"150 Hutchinson St NE, Atlanta, GA 30307, USA",https://maps.google.com/?cid=11666071752102134647,(404) 577-9001,19 mins,14 mins
Virginia Highlands Apartments,33.780863,-84.366495,ChIJ1QsEPD0E9YgRmTzScyoNpGA,30307,http://www.virginiahighlandsapartments.com/,"609 Virginia Ave NE, Atlanta, GA 30306, USA",https://maps.google.com/?cid=6963705399804574873,(404) 874-5512,1 min,9 mins
West Inman Lofts,33.753166,-84.366856,ChIJ3zEPIvcD9YgRnpT_agEqcAw,30307,http://www.westinmanwmp.com/,"626 Dekalb Ave, Atlanta, GA 30312, USA",https://maps.google.com/?cid=896262511425197214,(404) 688-1626,4 mins,8 mins
Edgewood Court Apartments,33.755615,-84.336654,ChIJ8b1fMEsB9YgRXNXYpO0hui0,30307,http://www.edgewoodcourtapts.com/,"1572 Hardee St NE, Atlanta, GA 30307, USA",https://maps.google.com/?cid=3294983381931578716,(404) 373-5378,19 mins,14 mins
North High Ridge Apartments,33.771306,-84.351672,ChIJEQS-AqcG9YgRkcq0HddB-RY,30307,http://northhighridge.com/,"1088 North Avenue NE #1, Atlanta, GA 30307, USA",https://maps.google.com/?cid=1655426730207529617,(404) 892-3133,6 mins,7 mins
Station Square Apartments,33.757197,-84.352146,ChIJeSkmSFUB9YgRJz1ToM8WTSk,30307,http://rjamesproperties.com/properties/station-square-apartments/nggallery/page/2/image/ss-2br,"1065 Seaboard Ave NE, Atlanta, GA 30307, USA",https://maps.google.com/?cid=2976060009765616935,(404) 523-6998,12 mins,13 mins
Reynoldstown Senior Residences,33.75173,-84.360882,ChIJg3g7YPkD9YgRNUcroPZaSgM,30307,http://www.mercyhousing.org/,"695 Field St SE, Atlanta, GA 30316, USA",https://maps.google.com/?cid=237101945686017845,(404) 975-4291,4 mins,8 mins
Mariposa Loft Apartments,33.760258,-84.361632,ChIJIyckqwcE9YgRU_fnuuvvG_s,30307,http://www.mariposawmp.com/,"100 Montag Cir, Atlanta, GA 30307, USA",https://maps.google.com/?cid=18094319723623216979,(678) 742-5190,9 mins,20 mins
Bass Lofts,33.764172,-84.352048,ChIJJ3YMCakG9YgRJ0uX3umnixw,30307,http://www.basslofts.com/,"1080 Euclid Ave NE, Atlanta, GA 30307, USA",https://maps.google.com/?cid=2056922277728439079,(844) 216-0903,6 mins,7 mins
Gables Residential,33.794736,-84.305622,ChIJlao9vgYH9YgROgY1mJC-xPg,30307,http://gables.com/,"1386 Clairmont Rd, Decatur, GA 30033, USA",https://maps.google.com/?cid=17925661945079596602,(404) 486-0190,26 mins,22 mins
Inman Quarter Apartments,33.761965,-84.358633,ChIJLRdHWQEE9YgR1SyxHcCQNkY,30307,http://inmanquarter.com/,"299 North Highland Avenue Northeast, Atlanta, GA 30307, USA",https://maps.google.com/?cid=5059390386203602133,(404) 330-0686,6 mins,7 mins
N. Highland Steel Apartments,33.76285,-84.359629,ChIJlxVaAAQE9YgRgexgHt40h1Y,30307, ,"240 North Highland Avenue Northeast, Atlanta, GA 30307, USA",https://maps.google.com/?cid=6235010337714793601,(678) 701-9054,6 mins,7 mins
Oak Pointe Apartments,33.767675,-84.341441,ChIJo-o2g7oG9YgRv42QXspOnk4,30307,http://bradenfellman.com/apartments/oakpointe/,"485 Oakdale Rd NE, Atlanta, GA 30307, USA",https://maps.google.com/?cid=5665052012355554751,(404) 688-6257,9 mins,13 mins
North Highland Steel Apartments & Shops,33.761912,-84.36021,ChIJR4ZfugYE9YgRzWTDLI6Bkac,30307,http://www.nhighlandsteel.com/,"240 North Highland Avenue Northeast, Atlanta, GA 30307, USA",https://maps.google.com/?cid=12074574523593352397,(844) 675-8578,6 mins,7 mins
Alexan on Krog Urban Apartments,33.756172,-84.364782,ChIJSdVz9fcD9YgR1OUCQJk173I,30307,http://www.alexanonkrog.com/,"112 Krog St NE, Atlanta, GA 30307, USA",https://maps.google.com/?cid=8281897172077831636,(404) 331-0620,4 mins,8 mins
Columbia Citi Homes,33.757916,-84.344924,ChIJTxOlP60G9YgRoKN8upka1CQ,30307,http://www.columbiares.com/,"165 Marion Pl NE, Atlanta, GA 30307, USA",https://maps.google.com/?cid=2653775327989113760, ,12 mins,13 mins
Pendleton Apartments,33.758809,-84.355559,ChIJva5cRwAE9YgRQskabB7h4vk,30307, ,"933 Euclid Ave NE, Atlanta, GA 30307, USA",https://maps.google.com/?cid=18006201780959627586, ,12 mins,13 mins
Inman Village Townhomes,33.75981,-84.36203,ChIJwRPuqgcE9YgRUYFudjipesA,30307, ,"200 Montag Cir, Atlanta, GA 30307, USA",https://maps.google.com/?cid=13869584062411080017,(404) 522-0996,9 mins,20 mins
Highland Glen,33.765864,-84.354377,ChIJZ9ACgwIE9YgR7wQ2sU-xGjM,30307, ,"436 North Highland Avenue Northeast, Atlanta, GA 30307, USA",https://maps.google.com/?cid=3682450601162441967, ,6 mins,7 mins
The Office Apartments,33.761562,-84.382435,ChIJ_cF78HYE9YgRr2YoF3KZcqc,30308,http://www.theofficeapts.com/,"250 Piedmont Ave NE, Atlanta, GA 30308, USA",https://maps.google.com/?cid=12065875066972825263,(404) 331-0830,12 mins,2 mins
Legacy Apartment Homes,33.776573,-84.384809,ChIJa5x-k2gE9YgRlqdEIazVujc,30308, ,"800 Peachtree St NE, Atlanta, GA 30308, USA",https://maps.google.com/?cid=4015756953023457174, ,4 mins,19 mins
Gardenwood Apartments LLC,33.777042,-84.387038,ChIJg6E4R2YE9YgR5rOOcMZ1qrU,30308, ,"817 W Peachtree St NE, Atlanta, GA 30308, USA",https://maps.google.com/?cid=13090404762058142694,(404) 892-3405,4 mins,19 mins
Ford Factory Lofts,33.772925,-84.364151,ChIJmTtvphAE9YgRNEyufMuC8y4,30308,http://www.fordfactorylofts.com/,"699 Ponce De Leon Ave NE, Atlanta, GA 30308, USA",https://maps.google.com/?cid=3383191555567143988,(404) 874-5237,9 mins,20 mins
AMLI Old 4th Ward,33.76898,-84.366363,ChIJQfERKw4E9YgRat6hswPvgsA,30308,http://www.amli.com/apartments/atlanta/Downtown/Atlanta/old4thward,"525 Glen Iris Dr NE, Atlanta, GA 30308, USA",https://maps.google.com/?cid=13871912601432219242,(404) 267-4583,9 mins,20 mins
Townhouse Atlanta,33.765649,-84.382315,ChIJT188AHEE9YgRJfZv8WkdIB0,30308,http://townhouseatlanta.com/,"450 Piedmont Ave NE, Atlanta, GA 30308, USA",https://maps.google.com/?cid=2098709767214069285,(404) 892-1450,12 mins,2 mins
Mezzo Apartment Homes,33.813728,-84.391946,ChIJ37CkuqgF9YgRrUyMLVcOmZY,30309,http://www.mezzoapartmenthomes.com/,"2171 Peachtree St NW, Atlanta, GA 30309, USA",https://maps.google.com/?cid=10851720544715033773,(404) 479-7542,50 mins,39 mins
Windsor at Midtown,33.787016,-84.380719,ChIJB5SgA0QE9YgREjOFKgKGDAg,30309,http://www.windsoratmidtown.com/,"222 14th St NE, Atlanta, GA 30309, USA",https://maps.google.com/?cid=579985795885380370,(877) 897-6933,14 mins,32 mins
